Project ID,Project Name,Street Number,Street Name,Street Type,Zip Code,City Analysis Neighborhood,Supervisor District,Project Sponsor,Total Units,Total Beds,Affordable Units,Affordable Beds,Single Room Occupancy Units,Studio Units,1bd Units,2bd Units,3bd Units,4bd Units,5+ bd Units,Family Units,Senior Units,TAY Units,Homeless Units,LOSP Units,Disabled Units,20% AMI,30% AMI,40% AMI,50% AMI,60% AMI,80% AMI,120% AMI,More than 120% AMI,Year Building Constructed,Year Affordability Began,Latitude,Longitude,Location,SF Find Neighborhoods,Current Police Districts,Current Supervisor Districts,Analysis Neighborhoods,:@computed_region_fyvs_ahh9,:@computed_region_bh8s_q3mv,:@computed_region_yftq_j783,:@computed_region_p5aj_wyqh,:@computed_region_rxqg_mtj9
1989-002,Brennan House,0,Confidential,,00000,Confidential,5,St. Vincent De Paul Society,15,0,15,0,15,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,3,12,0,0,0,1900,2000,,,,,,,,,,,,
1990-001,San Cristina,1000,Market,St,94102,Tenderloin,6,Community Housing Partnership,58,0,58,0,58,0,0,0,0,0,0,58,0,0,58,0,0,0,0,0,58,0,0,0,0,1913,1994,37.78,-122.4109879,POINT (-122.41098790000001 37.78),32,5,10,34,34,28853,14,2,9
1995-013,CATS Eddy Street Apartments (CATS),425,Eddy,St,94102,Tenderloin,6,"Community Awareness & Treatment Services, Inc.",25,0,25,0,0,25,0,0,0,0,0,25,0,0,15,0,0,0,0,0,25,0,0,0,0,1922,1997,37.78,-122.4146957,POINT (-122.4146957 37.78),21,5,10,36,36,28852,7,10,9
1992-012,Eddy Street Apartments,1096,Eddy,St,94109,Western Addition,5,Progress Foundation,21,0,20,0,0,0,20,0,0,0,0,20,0,0,0,0,20,0,0,0,20,0,0,0,0,1997,1996,37.78,-122.4258118,POINT (-122.4258118 37.78),97,4,11,39,41,28852,7,9,11
2016-075,3329-3333 20th Street,3329-3333,20th,St,94110,Mission,9,Mission Economic Development Agency,10,0,10,0,0,4,6,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,10,0,0,1900,2016,37.76,-122.41539,POINT (-122.41539 37.76),53,3,2,20,19,28859,2,4,7
2015-040,642-646 Guerrero Street,642-646,Guerrero,St,94110,Mission,8,Mission Economic Development Agency,4,0,4,0,0,0,3,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,1924,2016,37.76,-122.4240341,POINT (-122.42403410000001 37.76),37,3,5,20,19,28859,2,4,5
2006-025,Richardson Apartments (Parcel G),365,Fulton,St,94102,Hayes Valley,5,Community Housing Partnership,120,0,120,0,0,120,0,0,0,0,0,120,0,0,120,64,0,0,0,0,120,0,0,0,0,2011,2011,37.78,-122.4229584,POINT (-122.4229584 37.78),21,4,11,39,41,28852,7,9,11
2004-028,Mission Hotel,520,South Van Ness,Ave,94110,Mission,9,Tenderloin Housing Clinic,244,0,244,0,244,0,0,0,0,0,0,244,0,0,241,0,0,0,159,0,85,0,0,0,0,1907,2008,37.76,-122.4178848,POINT (-122.41788480000001 37.76),53,3,2,20,19,28859,2,4,7
2018-039,Railton Place,230-242,Turk,St,94102,Tenderloin,6,The Salvation Army,40,0,40,0,0,0,0,0,0,0,0,40,0,0,0,40,0,0,0,0,40,0,0,0,0,2008,2018,37.78,-122.4131256,POINT (-122.4131256 37.78),21,5,10,34,34,28853,8,2,9
1991-005,Moultrie House,374,Moultrie,St,94110,Bernal Heights,9,Bernal Heights Neighborhood Center,9,0,9,0,8,0,1,0,0,0,0,9,0,0,0,0,0,0,0,0,0,9,0,0,0,1907,1993,37.74,-122.4160538,POINT (-122.41605379999999 37.74),83,9,2,2,2,28859,2,7,7
2017-004,63-67 Lapidge Street,63-67,Lapidge,St,94110,Mission,8,Mission Economic Development Agency,6,0,6,0,0,0,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,6,0,0,1910,2017,37.76,-122.4221089,POINT (-122.42210889999998 37.76),37,3,5,20,19,28859,2,4,5
1998-010,Ambassador Hotel,55,Mason,St,94102,Tenderloin,6,Tenderloin Neighborhood Development Corporation,134,0,134,0,134,0,0,0,0,0,0,134,0,0,0,0,0,0,0,0,23,111,0,0,0,1910,2003,37.78,-122.4096069,POINT (-122.4096069 37.78),32,1,10,34,34,28853,14,2,9
1993-013,A WOMANS PLACE,0,confidential,St,Yes,Confidential,6,"Community Awareness & Treatment Services, Inc.",11,54,0,54,11,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,2010,2010,,,,,,,,,,,,
2001-019,990 Polk,990,Polk,St,94109,Tenderloin,6,Tenderloin Neighborhood Development Corporation,110,0,109,0,0,81,28,0,0,0,0,109,0,0,50,30,0,0,0,0,109,0,0,0,0,2008,2008,37.79,-122.4193802,POINT (-122.4193802 37.79),105,4,3,21,21,28858,13,9,10
2010-022,Madonna Residence,350,Golden Gate,Ave,94102,Tenderloin,6,Mercy Housing California,70,0,69,0,0,69,0,0,0,0,0,0,69,0,18,0,0,0,0,0,69,0,0,0,0,2000,2013,37.78,-122.4163818,POINT (-122.4163818 37.78),21,5,10,36,36,28852,7,10,9
2013-036,Rosa Parks Apartments (RAD),1251,Turk,St,94115,Western Addition,5,Tenderloin Neighborhood Development Corporation,203,0,202,0,0,19,100,83,0,0,0,0,202,0,0,0,202,0,0,0,202,0,0,0,0,1961,2016,37.78,-122.4294853,POINT (-122.42948530000001 37.78),97,4,11,39,41,29490,7,9,11
1973-001,Nihonmachi Terrace,1615,Sutter,St,94109,Japantown,5,Japanese American Religious Federation,245,0,243,0,0,51,142,28,18,4,0,243,0,0,0,0,0,0,0,0,180,63,0,0,0,2010,2010,37.79,-122.426796,POINT (-122.426796 37.79),102,4,6,30,27,28858,13,9,1
