Project ID,Project Status,Project Name,Street Number ,Street Name,Street Type,Zip Code,Supervisor District,City Analysis Neighborhood,Lead Agency,Program Area,Project Area,Project Type,Housing Tenure,Issuance of Notice to Proceed,Issuance of Building Permit,Issuance of First Construction Document,Estimated/Actual Construction Start Date,Estimated Construction Completion,Project Lead Sponsor,Project Co-Sponsor,Project Owner,Planning  Case Number,Property Informaiton Map Link,Planning Entitlements,Entitlement Approval,Section 415 Declaration,Project Units,Affordable Units,Market Rate Units,% Affordable,SRO Units,Studio Units,1bd Units,2bd Units,3bd Units,4bd Units,5+ bd Units,Mobility Units,Manager Units,Manager Unit(s) Type,Family Units,Senior Units,TAY Units,Homeless Units,Disabled Units,LOSP Units,Public Housing Replacement Units,20% AMI,30% AMI,40% AMi,50% AMI,55% AMI,60% AMI,80% AMI,90% AMI,100% AMI,105% AMI,110% AMI,120% AMI,130% AMI,150% AMI,AMI Undeclared,Latitude,Longitude,Location
2016-023,(6) Complete,The Rise Hayes Valley,1699,Market,St,94103,6,Mission,MOHCD,Inclusionary Housing Program,0,New Construction,Ownership,,12/16/2016,10/11/2017,10/11/2017,05/28/2019,,,,2014.0484,http://propertymap.sfplanning.org/?search=2014.0484,"2014-002961CUA,2014.0484CND,2014.0484E,2014.0484PPA,2014.0484U",03/24/2016,On-site BMR Project,160,19,141,12,0,2,9,8,0,0,0,0,0,,19,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,37.772235894,-122.421878544999,POINT (-122.421878544999 37.772235894)
2015-036,(3) Design with Entitlements Approved,"925 Mission - ""N-1 Site""",110,5th,St,94103,6,South of Market,MOHCD,Inclusionary Housing Program,0,New Construction,Ownership,,,,09/15/2017,11/09/2019,,,,2011.0409,http://propertymap.sfplanning.org/?search=2011.0409,"2011.0409APL,2011.0409APL-02,2011.0409APL-03,2011.0409B,2011.0409CND,2011.0409CUA,2011.0409CUA-02,2011.0409CUA-03,2011.0409CUA-04,2011.0409CUA-05,2011.0409DVA,2011.0409E,2011.0409E_3,2011.0409K,2011.0409MAP,2011.0409OFA-02,2011.0409PCA,2011.0409PPA,2011.",09/17/2015,Fee Payment,400,0,400,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.781730867,-122.406309112999,POINT (-122.406309112999 37.781730867)
2017-030,(3) Design with Entitlements Approved,2670 Geary,2670,Geary,Blvd,94118,2,Presidio Heights,MOHCD,Inclusionary Housing Program,0,New Construction,Rental,,,,11/29/2019,01/22/2022,RGA Architecture,,,2014-002181PRJ,http://propertymap.sfplanning.org/?search=2014-002181PRJ,"2014-002181CUA,2014-002181ENV,2014-002181PPA,2014-002181TDM,2014-002181VAR",11/30/2017,On-site BMR Project,95,22,73,23,0,15,0,7,0,0,0,0,0,,22,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,37.782852551,-122.447442492999,POINT (-122.447442492999 37.782852551)
2016-064,(4) Site Work Permit Issued,2435-2445 16th,2345-2445,16th,St,94110,9,Mission,MOHCD,Inclusionary Housing Program,0,New Construction,Ownership,,12/05/2018,,06/05/2019,07/29/2021,Steve Vettel,,,2014.1201,http://propertymap.sfplanning.org/?search=2014.1201,"2014.1201ENV,2014.1201ENX,2014.1201PPA,2014.1201SHD,2014.1201U",06/23/2016,On-site BMR Project,53,8,45,15,0,0,4,3,1,0,0,0,0,,8,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,37.765320874,-122.411119975999,POINT (-122.411119975999 37.765320874)
2017-051,(2) Predevelopment Feasibility,Hayes Valley North HOPE VI,667,Linden,St,94102,3,Nob Hill,MOHCD,Multifamily Rental Program,0,Rehabilitation,Rental,08/15/2020,,,08/15/2020,03/15/2022,McCormack Baron Salazar,San Francisco Housing Development Corporation,"Hayes Valley III, LP",Not Applicable,,,,,84,83,1,99,0,0,0,34,39,10,0,9,1,,83,0,0,0,0,0,0,0,0,0,51,0,32,0,0,0,0,0,0,0,0,0,37.788578569571,-122.416591818,POINT (-122.416591818 37.7885785695712)
2016-095,(1) Preliminary Phase,"HPSY I, Block 56",11,Innes,Ct,94124,10,Bayview Hunters Point,OCII,Multifamily Rental Program,HP Shipyard Phase 1,New Construction,Unknown,06/01/2021,,,06/01/2021,12/15/2022,Developer not yet selected,,Developer not yet selected,Not Applicable,,,,,70,69,1,99,0,0,0,0,0,0,0,0,1,,69,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,37.788578569571,-122.416591818,POINT (-122.416591818 37.7885785695712)
2018-047,(2) Predevelopment Feasibility,937-949 Clay,937,Clay,St,94108,3,Chinatown,MOHCD,Big Sites Program,0,Rehabilitation,Rental,06/01/2020,,,06/01/2020,12/01/2020,Chinatown Community Development Center,,,0,http://propertymap.sfplanning.org/?search=0,,,,70,70,0,100,68,0,0,2,0,0,0,0,0,,70,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,42.17667,-122.6768,POINT (-122.6768 42.17667)
2015-062,(5) First Construction Document Issued,25 Grace,23-25,Grace,St,94103,6,South of Market,MOHCD,Inclusionary Housing Program,0,New Construction,Unknown,,03/30/2018,07/03/2018,07/03/2018,08/26/2020,D-Sheme Studio Architects,,,2014-001736PRJ,http://propertymap.sfplanning.org/?search=2014-001736PRJ,"2014-001736ENV,2014-001736PPA",10/13/2017,Fee Payment,11,0,11,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.775175229,-122.414725952999,POINT (-122.414725952999 37.775175229)
2018-033,(3) Design with Entitlements Approved,1245 Folsom,1245,Folsom,St,94103,6,South of Market,MOHCD,Inclusionary Housing Program,0,New Construction,Rental,07/01/2023,,,10/02/2020,11/26/2022,"Newbs 0168, LLC",,,2015-014148PRJ,http://propertymap.sfplanning.org/?search=2015-014148PRJ,,10/04/2018,On-site BMR Project,37,7,30,19,0,3,1,3,0,0,0,0,0,,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,3,0,0,37.788578569571,-122.416591818,POINT (-122.416591818 37.7885785695712)
2018-029,(5) First Construction Document Issued,200 Van Ness Ave,200,Van Ness,Ave,94102,6,Tenderloin,MOHCD,Inclusionary Housing Program,0,New Construction,Rental,,08/31/2018,12/12/2018,12/12/2018,02/04/2021,Conservatory of Music,,,2015-012994PRJ,http://propertymap.sfplanning.org/?search=2015-012994PRJ,"2015-012994CUA,2015-012994DNX,2015-012994DNX-02,2015-012994GPR,2015-012994LLA,2015-012994MAP,2015-012994MCM,2015-012994PCA,2015-012994PPA,2015-012994SHD,2015-012994TDM,2015-012994VAR",02/08/2018,Exempt Project,113,0,113,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.777610219,-122.419339738999,POINT (-122.419339738999 37.777610219)
