Project ID,Project Status,Project Name,Street Number,Street Name,Street Type,Zip Code,Housing Tenure,Section 415 Declaration,Entitlement Approval Date,Actual/Estimated Completion Date,Planning Case Number,Property Information Map Link,Planning Entitlements,Project Units,Affordable Units,Units Subject to Section 415,On-Site Affordable Units,Off-Site Affordable Units,Off-Site Affordable Units at This Site,SRO Units,Studio Units,1bd Units,2bd Units,3bd Units,4bd Units,30% AMI,50% AMI,55% AMI,60% AMI,80% AMI,90% AMI,100% AMI,120% AMI,150% AMI,Supervisor District,Neighborhood,Planning Neighborhood,Plan Area,Off-Site Principal Project ID,Off-Site Principal Project,Off-Site Project ID,Off-Site Project,Latitude,Longitude,Location
2010-007,(6) Complete,"301-303, 307-309 & 313-315 Moraga",1701,09th,Ave,94122,Unknown,Fee Payment,01/01/2010,01/08/2013,2009.0904,http://propertymap.sfplanning.org/?search=2009.0904,2009.0904D,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,Inner Sunset,Inner Sunset,,0,0,0,0,37.75638263,-122.4660624,POINT (-122.4660624 37.75638263)
2002-006,(6) Complete,1828 Geneva,1828,Geneva,Ave,94134,Rental,On-site BMR Project,01/10/2002,03/01/2011,2000.1191,http://propertymap.sfplanning.org/?search=2000.1191,"03-100,03-101,2000.1191C,2000.1191E,2000.1191S",48,6,48,6,0,0,0,0,1,4,0,0,0,0,0,6,0,0,0,0,0,11,Crocker Amazon,Excelsior,,0,0,0,0,37.70990597,-122.4248645,POINT (-122.4248645 37.70990597)
2016-078,(4) Site Work Permit Issued,2600 Harrison,2600,Harrison,St,94110,Unknown,Fee Payment,08/11/2016,12/28/2020,2014.0503,http://propertymap.sfplanning.org/?search=2014.0503,"2014.0503E,2014.0503ENX,2014.0503PPA,2014.0503U",19,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,Mission,Mission,Mission (EN),0,0,0,0,37.75537821,-122.4124064,POINT (-122.4124064 37.75537821)
2005-011,(6) Complete,333 Fremont,333,Fremont,St,94105,Rental,Fee Payment,06/16/2005,06/19/2014,2002.1263,http://propertymap.sfplanning.org/?search=2002.1263,"2002.1263C,2002.1263E,2002.1263K,2002.1263Q,2002.1263S,2002.1263U,2002.1263V",83,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,South of Market,Financial District/South Beach,Rincon Hill,0,0,0,0,37.78768215,-122.3926945,POINT (-122.3926945 37.78768215)
2003-024,(6) Complete,1277 Howard /776 Tehama,1277,Howard,St,94103,Ownership,On-site BMR Project,12/02/2003,08/08/2006,2002.0909,http://propertymap.sfplanning.org/?search=2002.0909,"2002.0909E,2002.0909K,2002.0909V",14,2,14,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,6,South of Market,South of Market,"South of Market, Western SoMa (EN)",0,0,0,0,37.77502204,-122.4124606,POINT (-122.4124606 37.77502204)
2016-023,(5) First Construction Document Issued,1699 Market,1699,Market,St,94103,Unknown,Fee Payment,03/24/2016,12/10/2019,2014.0484,http://propertymap.sfplanning.org/?search=2014.0484,"2014-002961CUA,2014.0484CND,2014.0484E,2014.0484PPA,2014.0484U",160,0,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,South of Market,Mission,Market and Octavia,0,0,0,0,37.77223589,-122.4218785,POINT (-122.4218785 37.77223589)
2015-055,(3) Design with Entitlements Approved,475 Minna,475,Minna,St,94103,Ownership,On-site BMR Project,12/10/2015,12/08/2022,2014.1442,http://propertymap.sfplanning.org/?search=2014.1442,"2014.1442DNX,2014.1442ENV,2014.1442U",15,3,15,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,South of Market,South of Market,"Central SoMa, Downtown",0,0,0,0,37.78092255,-122.407392,POINT (-122.407392 37.78092255)
2012-013,(6) Complete,Alchemy by Alta,218-220,Buchanan,St,94102,Rental,On-site BMR Project,08/16/2012,01/16/2018,2012.0033,http://propertymap.sfplanning.org/?search=2012.0033,"2012.0033A,2012.0033A_3,2012.0033C,2012.0033E,2012.0033F,2012.0033R,2012.0033S,2012.0033U,2012.0033U_3,2014-000029GPR",330,50,330,50,0,0,0,12,23,15,0,0,0,0,50,0,0,0,0,0,0,8,Western Addition,Hayes Valley,Market and Octavia,0,0,0,0,37.77169713,-122.4261466,POINT (-122.4261466 37.77169713)
2011-023,(6) Complete,574 Natoma,574,Natoma,St,94103,Ownership,On-site BMR Project,01/12/2011,08/04/2013,2008.0795,http://propertymap.sfplanning.org/?search=2008.0795,"2008.0795E,2008.0795V",11,2,11,2,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,6,South of Market,South of Market,"East SoMa (EN), South of Market",0,0,0,0,37.77901435,-122.4094463,POINT (-122.4094463 37.77901435)
1989-001,(6) Complete,550 South Van Ness,550,South Van Ness,Ave,94110,Ownership,On-site BMR Project,11/30/1989,09/10/1991,1991.138,http://propertymap.sfplanning.org/?search=1991.138,1991.138Q,36,8,36,8,0,0,0,0,8,0,0,0,0,0,0,0,0,0,4,4,0,9,Mission,Mission,Mission (EN),0,0,0,0,37.7643532,-122.4178542,POINT (-122.4178542 37.7643532)
2003-011,(6) Complete,Landmark Union Sq.,333,Grant,Ave,94108,Ownership,On-site BMR Project,11/21/2002,02/02/2005,2002.0934,http://propertymap.sfplanning.org/?search=2002.0934,"2002.0934A,2002.0934K,2002.0934V,2002.0934X",39,2,39,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,3,Financial District,Financial District/South Beach,Downtown,0,0,0,0,37.79015043,-122.4058696,POINT (-122.4058696 37.79015043)
2016-048,(5) First Construction Document Issued,Oceanwide Center,40,1st,St,94105,Unknown,Fee Payment,05/05/2016,07/04/2020,2006.1523,http://propertymap.sfplanning.org/?search=2006.1523,"2006.1523B,2006.1523CUA,2006.1523DNX,2006.1523E,2006.1523E_3,2006.1523E_5,2006.1523GPR,2006.1523MCM,2006.1523OFA-02,2006.1523PCA,2006.1523SHD,2006.1523VAR",265,0,265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,Financial District,Financial District/South Beach,"Downtown, Transit Center District",0,0,0,0,37.78989346,-122.3984158,POINT (-122.3984158 37.78989346)
2006-019,(6) Complete,725 Pine,725,Pine,St,94108,Ownership,On-site BMR Project,11/14/2006,09/12/2007,2006.0242,http://propertymap.sfplanning.org/?search=2006.0242,"2006.0242E,2006.0242V",22,2,22,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,3,Chinatown,Nob Hill,,0,0,0,0,37.79101381,-122.4076967,POINT (-122.4076967 37.79101381)
2004-010,(6) Complete,6 Mint Plaza,418-420,Jessie,St,94103,Rental,On-site BMR Project,08/05/2004,10/11/2009,2003.1243,http://propertymap.sfplanning.org/?search=2003.1243,"2003.1243C,2003.1243E,2003.1243E_2,2003.1243K,2003.1243Q,2003.1243X,2003.1243Z",25,3,25,3,0,0,0,0,1,1,1,0,0,0,3,0,0,0,0,0,0,6,South of Market,South of Market,"Central SoMa, Downtown",0,0,0,0,37.78297676,-122.4079048,POINT (-122.4079048 37.78297676)
2010-015,(6) Complete,ICON,2299,Market,St,94114,Unknown,Fee Payment,08/16/2010,11/12/2013,2008.0430,http://propertymap.sfplanning.org/?search=2008.0430,"2008.0430D,2008.0430E,2008.0430K,2008.0430Q,2008.0430V",18,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,Castro/Upper Market,Castro/Upper Market,,0,0,0,0,37.76404745,-122.4327612,POINT (-122.4327612 37.76404745)
2013-059,(6) Complete,1400 Mission,1400,Mission,St,94103,Ownership,Units for Off-site Project with On-site Obligation,01/17/2013,12/22/2015,2011.1043,http://propertymap.sfplanning.org/?search=2011.1043,"2011.1043C,2011.1043E,2011.1043K,2011.1043U,2011.1043X",190,167,26,3,0,164,0,4,52,94,17,0,0,0,0,0,0,0,167,0,0,6,South of Market,South of Market,"Downtown, Market and Octavia",2009-016,Lumina,0,0,37.77528267,-122.41649,POINT (-122.41649 37.77528267)
2015-005,(6) Complete,"100 Van Ness, Phase II",100,Van Ness,Ave,94102,Rental,On-site BMR Project,01/14/2015,09/29/2016,2014.0941,http://propertymap.sfplanning.org/?search=2014.0941,2014.0941V,18,2,18,2,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,6,Downtown/Civic Center,Tenderloin,"Downtown, Market and Octavia",0,0,0,0,37.77672111,-122.4191773,POINT (-122.4191773 37.77672111)
1992-001,(6) Complete,Ocean View Village,2251,Alemany,Blvd,94112,Ownership,On-site BMR Project,01/01/1992,11/15/1995,1990.308,http://propertymap.sfplanning.org/?search=1990.308,"1990.308C,1990.308E,1990.308S",37,2,37,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,11,Outer Mission,Outer Mission,,0,0,0,0,37.71678015,-122.4422124,POINT (-122.4422124 37.71678015)
2004-015,(6) Complete,1 South Park,1,South Park,Ave,94107,Ownership,Fee Payment,09/23/2004,02/20/2008,2003.1086,http://propertymap.sfplanning.org/?search=2003.1086,"2003.1086A,2003.1086C,2003.1086E,2003.1086K,2003.1086V",35,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,South of Market,Financial District/South Beach,"Central SoMa, East SoMa (EN), South of Market",0,0,0,0,37.7820531,-122.3928348,POINT (-122.3928348 37.7820531)
2012-011,(6) Complete,307 Octavia,307,Octavia,Blvd,94102,Rental,Fee Payment,06/28/2012,03/28/2017,2011.0744,http://propertymap.sfplanning.org/?search=2011.0744,"2011.0744C,2011.0744E,2011.0744E_3,2011.0744E_5,2011.0744K,2011.0744Q,2011.0744U",182,0,182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,Western Addition,Hayes Valley,Market and Octavia,0,0,0,0,37.77496211,-122.4251196,POINT (-122.4251196 37.77496211)
2016-119,(5) First Construction Document Issued,2350 19th,2350,19th,Ave,94107,Unknown,On-site BMR Project,07/08/2016,10/29/2019,2007.0557,http://propertymap.sfplanning.org/?search=2007.0557,2007.0557S,10,1,10,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,7,Parkside,West of Twin Peaks,,0,0,0,0,37.74403845,-122.4753681,POINT (-122.4753681 37.74403845)
2013-016,(4) Site Work Permit Issued,2290 3rd,2290,03rd,St,94107,Ownership,Fee Payment,08/08/2013,07/29/2019,2005.0408,http://propertymap.sfplanning.org/?search=2005.0408,"2005.0408E,2005.0408E_3,2005.0408K,2005.0408X",71,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,Potrero Hill,Potrero Hill,Central Waterfront (EN),0,0,0,0,37.76079825,-122.388902,POINT (-122.388902 37.76079825)
2009-014,(6) Complete,870 Harrison,870,Harrison,St,94107,Ownership,On-site BMR Project,06/18/2009,01/08/2015,2013.1156,http://propertymap.sfplanning.org/?search=2013.1156,2013.1156Q,26,4,26,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,6,South of Market,South of Market,"Central SoMa, South of Market, Western SoMa (EN)",0,0,0,0,37.7797426,-122.4013573,POINT (-122.4013573 37.7797426)
1993-001,(6) Complete,68 McCoppin,68,McCoppin,St,94103,Ownership,On-site BMR Project,12/09/1993,08/14/1996,1993.585,http://propertymap.sfplanning.org/?search=1993.585,"1993.585C,1993.585Q,1993.585S",12,1,12,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,6,South of Market,Mission,Market and Octavia,0,0,0,0,37.7724661,-122.4216427,POINT (-122.4216427 37.7724661)
2017-012,(5) First Construction Document Issued,1500 Mission St,1500,Mission,St,94103,Rental,On-site BMR Project,03/23/2017,05/19/2020,2014-000362PRJ,http://propertymap.sfplanning.org/?search=2014-000362PRJ,"2014-000362DNX,2014-000362ENV,2014-000362GPA,2014-000362MAP,2014-000362PCA,2014-000362SHD,2014-000362SUB,2014.1208PPA,2014.1208U",550,110,550,110,0,0,0,40,29,39,2,0,0,0,110,0,0,0,0,0,0,6,South of Market,Mission,"Downtown, Market and Octavia",0,0,0,0,37.77418641,-122.4181267,POINT (-122.4181267 37.77418641)
2017-011,(3) Design with Entitlements Approved,555 Howard St,555,Howard,St,94105,Ownership,On-site BMR Project,03/02/2017,02/29/2024,2015-008058PRJ,http://propertymap.sfplanning.org/?search=2015-008058PRJ,"2015-008058CUA,2015-008058DNX,2015-008058ENV,2015-008058PPA,2015-008058SHD",69,10,69,10,0,0,0,0,3,5,2,0,0,0,0,0,0,10,0,0,0,6,Financial District,Financial District/South Beach,"Downtown, Transbay, Transit Center District",0,0,0,0,37.78738028,-122.396902,POINT (-122.396902 37.78738028)
