Row No.,Housing Delivery Agency,Project Name:,Phase/ Bldg/Address/B+L,Total Units,100% Affordable Units,PTS BLDG Description+Additional Land Use Description,Permit Type,Building Permit No.,DBI Arrival/ Intake Date,Target Permit Issuance Date,Project Permit Status,Timing/ Priority Context,Planning,DBI,SFFD,Public Works,SFPUC,MOD,Housing Delivery Agency 1
1,OEWD,HUNTERS VIEW HOPE SF - 100% AFFORDABLE,"""Phase 3/Block 14/1151 Fairfax Avenue/4624/033 """,42,42,"MAYOR DIR# 17-02. 100% AFFORDABLE HOUSING. TO ERECT 6 STORIES, 1 BASEMENT, TYPE III-A OVER TYPE I-A, 42 UNITS RESIDENTIAL MIXED USED. (R-2,B,A-3,S-2) APN# 4624-033 (HUNTERS VIEW PHASE 3-BLOCK 14, LOT 3)",Site Permit,201909121446,2019-09-12T00:00:00.000,2020-02-12T00:00:00.000,Site Permit open at step 2 (PLANNING) and step 2 (BLDG) of 8,Start of construction Fall 2020,"""Assigned to Kimberly Durandet on 09/13/19; need comments soon and in time for 02/20/20 Planning Commission (Signed pre-app notes from DBI+SFFD obtained on 12/09/19)""","""In and Out Hold since 10/04/19 with Mark Walls pending pre-app with SFFD on 11/07/19. (Signed pre-app notes from DBI+SFFD obtained on 12/09/19) When will Mark Walls Start Review? Will start review on 01/17/20.""","""Step 3 of 10; review pending routing from other stations (currently with BLDG and PLANNING-step/station 2) (Signed pre-app notes from DBI+SFFD obtained on 12/09/19)""","""Step 4 of 10; review pending routing from other stations (currently with BLDG and PLANNING-step/station 2). No BSM permits applied for yet. Nothing on file.""",Step 5 of 10; review pending routing from other stations (currently with BLDG and PLANNING-step/station 2),"""Has the site permit been shared with MOD? Emailed Developer to send courtesy set to MOD for unofficial review on 01/16/20. Shown as step/station 3.""",Bring Shadow Study to RPD Committee and Commission and CU Modification to Planning Commission in February 2020.
2,OEWD,HUNTERS VIEW HOPE SF - 100% AFFORDABLE,Phase 3/Block 17/1151 Fairfax Avenue/4624/033,76,76,"MAYOR DIR# 17-02. 100% AFFORDABLE HOUSING. TO ERECT 5 STORIES, NO BASEMENT, TYPE III-A OVER TYPE I-A, 76 UNITS RESIDENTIAL WITH MIXED USED BUIDLING. (R-2,B,A-3) APN# 4624/033 (HUNTERS VIEW PHASE 3-BLOCK 17, LOT 4)",Site Permit,201909121448,2019-09-12T00:00:00.000,2020-02-12T00:00:00.000,Site Permit open at step 2 (BLDG) and step 2 (PLANNING) of 8,Start of construction Fall 2020,"""Assigned to Kimberly Durandet on 09/13/19; need comments soon and in time for 02/20/20 Planning Commission (Signed pre-app notes from DBI+SFFD obtained on 12/09/19)""","""In and Out Hold since 10/04/19 with Mark Walls pending pre-app with SFFD on 11/07/19. (Signed pre-app notes from DBI+SFFD obtained on 12/09/19) When will Mark Walls Start Review? Will start review on 01/17/20.""","""Step 3 of 10; review pending routing from other stations (currently with BLDG and PLANNING-step/station 2) (Signed pre-app notes from DBI+SFFD obtained on 12/09/19)""","""Step 4 of 10; review pending routing from other stations (currently with BLDG and PLANNING-step/station 2) No BSM permits applied for yet. Nothing on file.""",Step 5 of 10; review pending routing from other stations (currently with BLDG and PLANNING-step/station 2),"""Has the site permit been shared with MOD? Emailed Developer to send courtesy set to MOD for unofficial review on 01/16/20. Shown as step/station 3.""",Bring Shadow Study to RPD Committee and Commission and CU Modification to Planning Commission in February 2020.
3,OEWD,HUNTERS VIEW HOPE SF - CITY VENTURES (MARKET-RATE),Phase 1/Building H/300 Catalina St/4624/054,10,-,"BLDG H. SFHA PRORITY PROCESSING PROJECT, ERECT A FOUR STORY TYPE V CONSTRUCTION TEN RESIDENTIAL UNITS BUILDING.",Site Permit,201910225156,2019-10-22T00:00:00.000,2020-03-22T00:00:00.000,Site Permit open at step 1 (CPB) of 8,Start of construction Q4 FY 19-20,Step 2 of 8; review pending routing from Step 1 (CPB),Routed to Planning on 11/20/19 - Kimberly Durandet started 12/17/19. When will comments be issued?,Step 4 of 8; review pending routing from other stations,"""Step 5 of 8; review pending routing from other stations No BSM permits applied for yet. Nothing on file.""",Step 6 of 8; review pending routing from other stations,-,Bring Shadow Study to RPD Committee and Commission and CU Modification to Planning Commission in February 2020.
4,OEWD,HUNTERS VIEW HOPE SF - CITY VENTURES (MARKET-RATE),Phase 1/Building I/300 Catalina St/4624/05,6,-,"BLDG I. SFHA PRORITY PROCESSING PROJECT, ERECT A FOUR STORY TYPE V CONSTRUCTION SIX RESIDENTIAL UNITS BUILDING.",Site Permit,201910225157,2019-10-22T00:00:00.000,2020-03-22T00:00:00.000,Site Permit open at step 1 (CPB) of 8,Start of construction Q4 FY 19-20,Step 2 of 8; review pending routing from Step 1 (CPB),Routed to Planning on 11/20/19 - Kimberly Durandet started 12/17/19. When will comments be issued?,Step 4 of 8; review pending routing from other stations,Step 5 of 8; review pending r+G8:N8outing from other stations No BSM permits applied for yet. Nothing on file.,Step 6 of 8; review pending routing from other stations,-,Bring Shadow Study to RPD Committee and Commission and CU Modification to Planning Commission in February 2020.
5,OEWD,HUNTERS VIEW HOPE SF - CITY VENTURES (MARKET-RATE),Phase 1/Building I/300 Catalina St/4624/05,6,-,"BLDG I. SFHA PRORITY PROCESSING PROJECT, ERECT A FOUR STORY TYPE V CONSTRUCTION SIX RESIDENTIAL UNITS BUILDING.",Site Permit,201910225157,2019-10-22T00:00:00.000,2020-03-22T00:00:00.000,Site Permit open at step 1 (CPB) of 8,Start of construction Q4 FY 19-20,Step 2 of 8; review pending routing from Step 1 (CPB),Routed to Planning on 11/20/19 - Kimberly Durandet started 12/17/19. When will comments be issued?,Step 4 of 8; review pending routing from other stations,Step 5 of 8; review pending r+G8:N8outing from other stations No BSM permits applied for yet. Nothing on file.,Step 6 of 8; review pending routing from other stations,-,Bring Shadow Study to RPD Committee and Commission and CU Modification to Planning Commission in February 2020.
6,OEWD,HUNTERS VIEW HOPE SF - CITY VENTURES (MARKET-RATE),Phase 1/Building K 8/0,-,-,"BLDG K. SFHA PRORITY PROCESSING PROJECT, ERECT A FOUR STORY TYPE V CONSTRUCTION EIGHT RESIDENTIAL UNITS BUILDING.",Site Permit,201910225159,2019-10-22T00:00:00.000,2020-03-22T00:00:00.000,Site Permit open at step 1 (CPB) of 8,Start of construction Q4 FY 19-20,Step 2 of 8; review pending routing from Step 1 (CPB),Routed to Planning on 11/20/19 - Kimberly Durandet started 12/17/19. When will comments be issued?,Step 4 of 8; review pending routing from other stations,Step 5 of 8; review pending routing from other stations No BSM permits applied for yet. Nothing on file.,Step 6 of 8; review pending routing from other stations,-,Bring Shadow Study to RPD Committee and Commission and CU Modification to Planning Commission in February 2020.
7,OEWD,HUNTERS VIEW HOPE SF - CITY VENTURES (MARKET-RATE),Phase 1/Landscape/300 Catalina St/4624/054,-,-,SUBMITTAL INCLUDES SITE WORK ON 300 CATALINA ST (BLK 4624 LOT 054),Landscape,201910225140S,2019-10-21T00:00:00.000,-,Landscape Permit open at step 1 (CPB) of 5,Start of construction Q4 FY 19-19,Step 2 of 6; review pending routing from Step 1 (CPB),Routed to Planning on 11/20/19 - Kimberly Durandet started 12/17/19. When will comments be issued?,-,Step 4 of 6; review pending routing from other stations No BSM permits applied for yet. Nothing on file.,-,-,Bring Shadow Study to RPD Committee and Commission and CU Modification to Planning Commission in February 2020.
8,OEWD,HUNTERS VIEW HOPE SF - CITY VENTURES (MARKET-RATE),Phase 1/Gates & Structures/300 Catalina St/4624/054,-,-,SUBMITTAL INCLUDES SITE WORK ON 300 CATALINA ST (BLK 4624 LOT 054),Gates and Structures,201910225199S,2019-10-21T00:00:00.000,-,Gates & Structures Permit open at step 1 (CPB) of 7,Start of construction Q4 FY 19-20,Step 2 of 8; review pending routing from Step 1 (CPB),Routed to Rich Sucre on 11/20/19. When will plan review start? To be reassigned to Kimberly Durandet on 01/16/20.,Step 4 of 8; review pending routing from other stations,Step 5 of 8; review pending routing from other stations No BSM permits applied for yet. Nothing on file.,-,-,Bring Shadow Study to RPD Committee and Commission and CU Modification to Planning Commission in February 2020.
9,OEWD,HUNTERS VIEW HOPE SF - CITY VENTURES (MARKET-RATE),Phase 2/Building A/200 Acacia St/4624/023,4,-,"BLDG A. SFHA PRORITY PROCESSING PROJECT, ERECT A FOUR STORY TYPE V CONSTRUCTION FOUR RESIDENTIAL UNITS BUILDING. BUILDING ON LOT 023, 024, 025 & 035.",Site Permit,201910225142,2019-10-22T00:00:00.000,2020-03-22T00:00:00.000,Site Permit open at step 1 (CPB) of 8,Start of construction Q4 FY 19-20,Step 2 of 8; review pending routing from Step 1 (CPB),"""Routed to Planning on 11/20/19 - Kimberly Durandet started 12/17/19. When will comments be issued?""",Step 4 of 8; review pending routing from other stations,Step 5 of 8; review pending routing from other stations No BSM permits applied for yet. Nothing on file.,Step 6 of 8; review pending routing from other stations,-,Bring Shadow Study to RPD Committee and Commission and CU Modification to Planning Commission in February 2020.
10,OEWD,HUNTERS VIEW HOPE SF - CITY VENTURES (MARKET-RATE),"""Phase 2/Building B/200 Acacia St/4624/023""",4,-,"BLDG B. SFHA PRORITY PROCESSING PROJECT, ERECT A FOUR STORY TYPE V CONSTRUCTION FOUR RESIDENTIAL UNITS BUILDING. BUILDING ON LOT 023, 024, 025 & 035.",Site Permit,201910225150,2019-10-22T00:00:00.000,2020-03-22T00:00:00.000,Site Permit open at step 1 (CPB) of 8,Start of construction Q4 FY 19-20,Step 2 of 8; review pending routing from Step 1 (CPB),"""Routed to Planning on 11/20/19 - Kimberly Durandet started 12/17/19. When will comments be issued?""",Step 4 of 8; review pending routing from other stations,Step 5 of 8; review pending routing from other stations No BSM permits applied for yet. Nothing on file.,Step 6 of 8; review pending routing from other stations,-,Bring Shadow Study to RPD Committee and Commission and CU Modification to Planning Commission in February 2020.
