record_id,parents,children
pts_1339294495475,"planning_2015-010665PRJ, planning_2015-010665VAR, planning_2016-011207ZAV, planning_2017-016475ENF",
pts_1394290495475,"planning_2016-011207ZAV, planning_2017-016475ENF",
pts_1438278158065,"planning_2000.351, planning_2000.351R, planning_2017-001417GPR, planning_EE80.114",
pts_1441752495475,"planning_2015-010665PRJ, planning_2015-010665VAR, planning_2016-011207ZAV, planning_2017-016475ENF",
pts_1445018495475,"planning_2015-010665PRJ, planning_2015-010665VAR, planning_2016-011207ZAV, planning_2017-016475ENF",
pts_1449998495475,"planning_2015-010665PRJ, planning_2015-010665VAR, planning_2016-011207ZAV, planning_2017-016475ENF",
pts_1456042495475,"planning_2015-010665PRJ, planning_2015-010665VAR, planning_2016-011207ZAV, planning_2017-016475ENF",
pts_1463224495475,"planning_2015-010665PRJ, planning_2015-010665VAR, planning_2016-011207ZAV, planning_2017-016475ENF",
pts_1465081108606,planning_4081_ENF,
pts_1465082390978,planning_4081_ENF,
pts_1465252495475,"planning_2015-010665PRJ, planning_2015-010665VAR, planning_2016-011207ZAV, planning_2017-016475ENF",
pts_1467549495475,"planning_2015-010665PRJ, planning_2015-010665VAR, planning_2016-011207ZAV, planning_2017-016475ENF",
pts_1472547495475,"planning_2015-010665PRJ, planning_2015-010665VAR, planning_2016-011207ZAV, planning_2017-016475ENF",
pts_1472804495475,"planning_2015-010665PRJ, planning_2015-010665VAR, planning_2016-011207ZAV, planning_2017-016475ENF",
pts_1484460495475,"planning_2015-010665PRJ, planning_2015-010665VAR, planning_2016-011207ZAV, planning_2017-016475ENF",
pts_1488546103268,"planning_2018-015375ENF, planning_2019-002868CND",
pts_1488557475859,"planning_2018-015375ENF, planning_2019-002868CND",
pts_1489855510068,planning_2017-016045PRJ,
pts_1489856510067,planning_2017-016045PRJ,
pts_1489866510069,planning_2017-016045PRJ,
pts_1489867205291,planning_2017-016045PRJ,
pts_1491389495475,"planning_2015-010665PRJ, planning_2015-010665VAR, planning_2016-011207ZAV, planning_2017-016475ENF",
pts_1491509510445,"planning_2010.0766, planning_2010.0766E, planning_2010.0766Z, planning_2016-015839PRV, planning_8922PRV",
pts_1498390495475,"planning_2015-010665PRJ, planning_2015-010665VAR, planning_2016-011207ZAV, planning_2017-016475ENF",
pts_1511538495475,"planning_2015-010665PRJ, planning_2015-010665VAR, planning_2016-011207ZAV, planning_2017-016475ENF",
pts_1512753495475,"planning_2015-010665PRJ, planning_2015-010665VAR, planning_2016-011207ZAV, planning_2017-016475ENF",
pts_1512755495475,"planning_2015-010665PRJ, planning_2015-010665VAR, planning_2016-011207ZAV, planning_2017-016475ENF",
pts_1515268495475,"planning_2015-010665PRJ, planning_2015-010665VAR, planning_2016-011207ZAV, planning_2017-016475ENF",
pts_1518849495475,"planning_2015-010665PRJ, planning_2015-010665VAR, planning_2016-011207ZAV, planning_2017-016475ENF",
pts_1518883495475,"planning_2015-010665PRJ, planning_2015-010665VAR, planning_2016-011207ZAV, planning_2017-016475ENF",
pts_1522204495475,"planning_2015-010665PRJ, planning_2015-010665VAR, planning_2016-011207ZAV, planning_2017-016475ENF",
pts_1523328495475,"planning_2015-010665PRJ, planning_2015-010665VAR, planning_2016-011207ZAV, planning_2017-016475ENF",
pts_1549264108606,"planning_2017-007883PRJ, planning_4081_ENF",
pts_1577511495475,"planning_2015-010665PRJ, planning_2015-010665VAR, planning_2016-011207ZAV, planning_2017-016475ENF",
pts_1380808113163,"planning_1986.146, planning_1986.146C, planning_1986.146E, planning_2003.0784, planning_2003.0784S, planning_2004.0049, planning_2004.0049A, planning_2004.0049C, planning_2004.0049E, planning_2004.0049V, planning_2008.1150, planning_2008.1150C, planning_2008.1186, planning_2008.1186A, planning_2008.1186E, planning_2008.1186V, planning_7798PRV, planning_R66.058, planning_R69.010",
bmr_2013-037,"planning_2015-010665PRJ, planning_2015-010665VAR, planning_2016-011207ZAV, planning_2016-015839PRV, planning_2017-016475ENF",
