RECORD_ID,RECORD_TYPE,RECORD_STATUS,CLASS,BLOCK,LOT,MAPBLOCKLOT,PARENT_ID,CHILD_ID,OPEN_DATE,CLOSE_DATE,PROJECT_NAME,PROJECT_ADDRESS,SUPERVISOR_DISTRICT,RELATED_BUILDING_PERMIT,NUMBER_OF_UNITS,NUMBER_OF_MARKET_RATE_UNITS,NUMBER_OF_AFFORDABLE_UNITS,DATE_APPLICATION_SUBMITTED,DATE_ENTITLEMENTS_APPROVED,DATE_PPA_SUBMITTED,DATE_APPLICATION_ACCEPTED,DATE_OF_FINAL_HEARING,DEVELOPER_NAME,DEVELOPER_ORG,ASSIGNED_TO_PLANNER,PLANNER_FIRST_NAME,PLANNER_LAST_NAME,PLANNER_EMAIL,PLANNER_PHONE,DESCRIPTION,DATE_PPA_LETTER_ISSUED,DATE_NIA_ISSUED,DATE_PLAN_CHECK_LETTER_ISSUED,DATE_PROJECT_DESC_STABLE,DATE_OF_FIRST_HEARING,CHANGE_OF_USE,ADDITIONS,NEW_CONSTRUCTION,LEG_ZONE_CHANGE,DEMOLITION,LOT_LINE_ADJUST,FACADE_ALT,ROW_IMPROVE,OTHER_PRJ_DESC,FORMULA_RETAIL,CANNABIS,MEDICAL_CANNABIS_DISPENSARY,MASSAGE,TOBACCO,FINANCIAL,OTHER_NON_RES,OTHER_NON_RES_DESC,SPECIAL_NEEDS,SENIOR,AFFORDABLE_UNITS,STUDENT,INCLUSIONARY,ADU,LEGALIZATION,CHANGE_OF_DWELLING_UNITS,SB35,AB2162,HOUSING_SUSTAINABILITY_DIST,RENTAL_UNITS,OWNERSHIP_UNITS,UNKOWN_UNITS,SB330,PRELIMINARY_HOUSING_APP_DATE,HOMESF,STATE_DENSITY_BONUS_ANALYZED,STATE_DENSITY_BONUS_INDIVIDUAL,BASE_DENSITY,BONUS_DENSITY,INCLUSIONARY_PERCENT,REAR_YARD,EXPOSURE,OFF_STREET_LOADING,PARKING,OPEN_SPACE,HEIGHT_LIMIT,OTHER_MODIFICATION,OTHER_MODIFICATION_DESC,AHBP_100_PERCENT_AFFORDABLE,ENVIRONMENTAL_REVIEW_TYPE,RESIDENTIAL_EXIST,PARKING_SPACES_EXIST,CAR_SHARE_SPACES_EXIST,PARKING_GSF_EXIST,RETAIL_COMMERCIAL_EXIST,OFFICE_EXIST,INDUSTRIAL_PDR_EXIST,MEDICAL_EXIST,VISITOR_EXIST,CIE_EXIST,RESIDENTIAL_PROP,PARKING_SPACES_PROP,CAR_SHARE_SPACES_PROP,PARKING_GSF_PROP,RETAIL_COMMERCIAL_PROP,OFFICE_PROP,INDUSTRIAL_PDR_PROP,MEDICAL_PROP,VISITOR_PROP,CIE_PROP,RESIDENTIAL_STUDIO_EXIST,RESIDENTIAL_1BR_EXIST,RESIDENTIAL_2BR_EXIST,RESIDENTIAL_3BR_EXIST,RESIDENTIAL_ADU_STUDIO_EXIST,RESIDENTIAL_ADU_1BR_EXIST,RESIDENTIAL_ADU_2BR_EXIST,RESIDENTIAL_ADU_3BR_EXIST,RESIDENTIAL_GH_ROOMS_EXIST,RESIDENTIAL_GH_BEDS_EXIST,RESIDENTIAL_SRO_EXIST,RESIDENTIAL_MICRO_EXIST,RESIDENTIAL_STUDIO_PROP,RESIDENTIAL_1BR_PROP,RESIDENTIAL_2BR_PROP,RESIDENTIAL_3BR_PROP,RESIDENTIAL_ADU_STUDIO_PROP,RESIDENTIAL_ADU_1BR_PROP,RESIDENTIAL_ADU_2BR_PROP,RESIDENTIAL_ADU_3BR_PROP,RESIDENTIAL_GH_ROOMS_PROP,RESIDENTIAL_GH_BEDS_PROP,RESIDENTIAL_SRO_PROP,RESIDENTIAL_MICRO_PROP
09-053,APL,Closed - Appeal Denied,,3767,305,3767305,2007.1121,,2009-05-29 00:00:00,2009-09-09 00:00:00,430 Main St,,,,0,0,0,,,,,,,,Ben Fu,Ben,Fu,BEN.FU@SFGOV.ORG,415-558-6613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10606PRV,PRV,Closed - Informational,,3767,305,3767305,,,2012-08-10 09:41:09,2012-08-14 00:00:00,429 Beale Street (3767/305); Project Review Meeting to add one residential dwelling unit or duplex to the existing structure.  App,"429 - 0 BEALE ST, SAN FRANCISCO, CA 94105",,,0,0,0,,,,,,"Zupsic, Christopher",Portland-Pacific Main LLC,Ben Fu,Ben,Fu,BEN.FU@SFGOV.ORG,415-558-6613,429 Beale Street (3767/305); Project Review Meeting to add one residential dwelling unit or duplex to the existing structure.  Applicant is requesting attendance of Ben Fu.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11460_ENF,ENF,Closed - Abated,,1424,026,1424026,,,2011-10-13 00:00:00,2011-11-18 00:00:00,248 10TH AV,,,,0,0,0,,,,,,,,Rachna Rachna,Rachna,Rachna,Rachna.Rachna@sfgov.org,415-575-6806,"demolition of a victorian house and converting it into a 3-unit apartment building without authorization - listed for sale with a real estate broker as an apartment building; removal of parking; demolition of historic building, constructed prior to 1900; no notification to neighbors or hearing",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11821_ENF,ENF,Closed - Abated,,1635,021,1635021,,,2012-07-23 00:00:00,2013-03-27 00:00:00,678 10TH AV,,,,0,0,0,,,,,,,,Rachna Rachna,Rachna,Rachna,Rachna.Rachna@sfgov.org,415-575-6806,"operating a residential Adult Care center, unclear if it is licensed and with permits, not ADA accessible",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986.146,PRJ,Closed,,1764,031,1764031,,"1986.146C, 1986.146E",1986-03-17 00:00:00,,1338 10th Ave,"1348 - 0 10TH AV, SAN FRANCISCO, CA 94122",,,0,0,0,,,,1986-03-17 00:00:00,,,,,,,,,Expansion of a school involving loss of one dwelling unit in an RH-2 district,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986.146C,CUA,Closed - Approved,,1764,031,1764031,1986.146,,1986-03-17 00:00:00,1986-06-12 00:00:00,1338 10th Ave,"1348 - 0 10TH AV, SAN FRANCISCO, CA 94122",,,0,0,0,,,,,,,,,,,,,Expansion of a school involving loss of one dwelling unit in an RH-2 district,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986.146E,ENV,Closed,,1764,031,1764031,1986.146,,1986-03-17 00:00:00,2003-04-24 17:28:59,1338 10th Ave,"1348 - 0 10TH AV, SAN FRANCISCO, CA 94122",,,0,0,0,,,,,,,,,,,,,Expansion of a school involving loss of one dwelling unit in an RH-2 district,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990.858,PRJ,Closed,,3767,005,3767005,,1990.858S,1990-12-21 00:00:00,,430 Main St+,"429 - 0 BEALE ST, SAN FRANCISCO, CA 94105",,,0,0,0,,,,,,,,,,,,,lot line adjustment to merge two units into one unit.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990.858S,SUB,Closed - Approved,,3767,005,3767005,1990.858,,1990-12-21 00:00:00,1991-01-14 00:00:00,430 Main St+,"429 - 0 BEALE ST, SAN FRANCISCO, CA 94105",,,0,0,0,,,,,,,,,,,,,lot line adjustment to merge two units into one unit.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997.115,PRJ,Closed,,2208,006,2208006,,1997.115E,1997-02-20 00:00:00,,2150 AND 2168 10th AV,"2150 - 0 10TH AV, SAN FRANCISCO, CA 94116",,,0,0,0,,,,1997-02-20 00:00:00,,,,,,,,,Merge Lots 12 and 13.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
