RECORD_ID,RECORD_TYPE,RECORD_STATUS,CLASS,BLOCK,LOT,MAPBLOCKLOT,PARENT_ID,CHILD_ID,OPEN_DATE,CLOSE_DATE,PROJECT_NAME,PROJECT_ADDRESS,SUPERVISOR_DISTRICT,RELATED_BUILDING_PERMIT,NUMBER_OF_UNITS,NUMBER_OF_MARKET_RATE_UNITS,NUMBER_OF_AFFORDABLE_UNITS,NUMBER_OF_UNITS_EXIST,NUMBER_MARKET_RATE_UNITS_EXIST,NUMBER_AFFORDABLE_UNITS_EXIST,NUMBER_OF_UNITS_PROP,NUMBER_MARKET_RATE_UNITS_PROP,NUMBER_AFFORDABLE_UNITS_PROPOSED,DATE_APPLICATION_SUBMITTED,DATE_ENTITLEMENTS_APPROVED,DATE_PPA_SUBMITTED,DATE_APPLICATION_ACCEPTED,DATE_OF_FINAL_HEARING,DEVELOPER_NAME,DEVELOPER_ORG,ASSIGNED_TO_PLANNER,PLANNER_FIRST_NAME,PLANNER_LAST_NAME,PLANNER_EMAIL,PLANNER_PHONE,DESCRIPTION,DATE_PPA_LETTER_ISSUED,DATE_NIA_ISSUED,DATE_PLAN_CHECK_LETTER_ISSUED,DATE_PROJECT_DESC_STABLE,DATE_OF_FIRST_HEARING,CHANGE_OF_USE,ADDITIONS,NEW_CONSTRUCTION,LEG_ZONE_CHANGE,DEMOLITION,LOT_LINE_ADJUST,FACADE_ALT,ROW_IMPROVE,OTHER_PRJ_DESC,FORMULA_RETAIL,CANNABIS,MEDICAL_CANNABIS_DISPENSARY,MASSAGE,TOBACCO,FINANCIAL,OTHER_NON_RES,OTHER_NON_RES_DESC,SPECIAL_NEEDS,SENIOR,AFFORDABLE_UNITS,STUDENT,INCLUSIONARY,ADU,LEGALIZATION,CHANGE_OF_DWELLING_UNITS,SB35,AB2162,HOUSING_SUSTAINABILITY_DIST,RENTAL_UNITS,OWNERSHIP_UNITS,UNKOWN_UNITS,SB330,PRELIMINARY_HOUSING_APP_DATE,HOMESF,STATE_DENSITY_BONUS_ANALYZED,STATE_DENSITY_BONUS_INDIVIDUAL,BASE_DENSITY,BONUS_DENSITY,INCLUSIONARY_PERCENT,REAR_YARD,EXPOSURE,OFF_STREET_LOADING,PARKING,OPEN_SPACE,HEIGHT_LIMIT,OTHER_MODIFICATION,OTHER_MODIFICATION_DESC,AHBP_100_PERCENT_AFFORDABLE,ENVIRONMENTAL_REVIEW_TYPE,RESIDENTIAL_EXIST,PARKING_SPACES_EXIST,CAR_SHARE_SPACES_EXIST,PARKING_GSF_EXIST,RETAIL_COMMERCIAL_EXIST,OFFICE_EXIST,INDUSTRIAL_PDR_EXIST,MEDICAL_EXIST,VISITOR_EXIST,CIE_EXIST,RESIDENTIAL_PROP,PARKING_SPACES_PROP,CAR_SHARE_SPACES_PROP,PARKING_GSF_PROP,RETAIL_COMMERCIAL_PROP,OFFICE_PROP,INDUSTRIAL_PDR_PROP,MEDICAL_PROP,VISITOR_PROP,CIE_PROP,RESIDENTIAL_STUDIO_EXIST,RESIDENTIAL_1BR_EXIST,RESIDENTIAL_2BR_EXIST,RESIDENTIAL_3BR_EXIST,RESIDENTIAL_ADU_STUDIO_EXIST,RESIDENTIAL_ADU_1BR_EXIST,RESIDENTIAL_ADU_2BR_EXIST,RESIDENTIAL_ADU_3BR_EXIST,RESIDENTIAL_GH_ROOMS_EXIST,RESIDENTIAL_GH_BEDS_EXIST,RESIDENTIAL_SRO_EXIST,RESIDENTIAL_MICRO_EXIST,RESIDENTIAL_STUDIO_PROP,RESIDENTIAL_1BR_PROP,RESIDENTIAL_2BR_PROP,RESIDENTIAL_3BR_PROP,RESIDENTIAL_ADU_STUDIO_PROP,RESIDENTIAL_ADU_1BR_PROP,RESIDENTIAL_ADU_2BR_PROP,RESIDENTIAL_ADU_3BR_PROP,RESIDENTIAL_GH_ROOMS_PROP,RESIDENTIAL_GH_BEDS_PROP,RESIDENTIAL_SRO_PROP,Neighborhoods,RESIDENTIAL_MICRO_PROP,SF Find Neighborhoods,LATITUDE,Current Police Districts,Current Supervisor Districts,LONGITUDE,WKT_MULTIPOLYGON,Analysis Neighborhoods,point
2014-002033ENV,ENV,Closed - CEQA Clearance Issued,COMPLETE,3767,305,3767305,2014-002033PRJ,2014-002033APL,2014-11-04 00:00:00,2019-01-07 00:00:00,429 Beale Street and 430 Main Street,429 BEALE ST 94105,6,,0,0,0,0,0,0,0,0,0,,,,,,"Junius, Andrew","Reuben, Junius & Rose, LLP",Michael Li,Michael,Li,Michael.J.Li@sfgov.org,415-575-9107,"Demolition of two existing self-storage structures.  New construction of a residential building containing 140 dwelling units, 70 auto parking spaces, and 110 bicycle parking spaces.",,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Community Plan-Exemption/Exclusion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,30,37.78738569,1,10,-122.39022083,"MULTIPOLYGON (((-122.38979726899998 37.787587174000009, -122.38996289400001 37.787722742000028, -122.39031230099999 37.787446537999983, -122.39064567600002 37.787183002999996, -122.39047725 37.787049649999972, -122.39014667399999 37.787310971000011, -122.38979726899998 37.787587174000009)))",8,POINT (-122.39022083000002 37.78738569)
2014-002033PPA,PPA,Letter Issued,COMPLETE,3767,305,3767305,2014-002033PRJ,,2014-11-24 00:00:00,2015-03-25 00:00:00,429 Beale Street and 430 Main Street,429 BEALE ST 94105,6,,0,0,0,0,0,0,0,0,0,,,,,,"Junius, Andrew","Reuben, Junius & Rose, LLP",Debra Dwyer,Debra,Dwyer,debra.dwyer@sfgov.org,415-575-9031,"Preliminary Project Assessment for the demolition of two existing self-storage structures.  New construction of a residential building containing 140 dwelling units, 70 auto parking spaces, and 110 bicycle parking spaces.",,,,,,CHECKED,,CHECKED,,CHECKED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,,,,131210,,,14800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,30,37.78738569,1,10,-122.39022083,"MULTIPOLYGON (((-122.38979726899998 37.787587174000009, -122.38996289400001 37.787722742000028, -122.39031230099999 37.787446537999983, -122.39064567600002 37.787183002999996, -122.39047725 37.787049649999972, -122.39014667399999 37.787310971000011, -122.38979726899998 37.787587174000009)))",8,POINT (-122.39022083000002 37.78738569)
2015-015758GEN,GEN,Closed - Informational,COMPLETE,3767,305,3767305,,,2015-11-25 00:00:00,2015-12-01 00:00:00,429 Beale / 430 Main,429 BEALE ST 94105,6,,0,0,0,0,0,0,0,0,0,,,,,,"Ince, Dane",,Josephine Chen,Josephine,Chen,josephine.chen@sfgov.org,415-575-9199,Record Request,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,30,37.78738569,1,10,-122.39022083,"MULTIPOLYGON (((-122.38979726899998 37.787587174000009, -122.38996289400001 37.787722742000028, -122.39031230099999 37.787446537999983, -122.39064567600002 37.787183002999996, -122.39047725 37.787049649999972, -122.39014667399999 37.787310971000011, -122.38979726899998 37.787587174000009)))",8,POINT (-122.39022083000002 37.78738569)
2014-002033APL,APL,Closed - Withdrawn,COMPLETE,3767,305,3767305,2014-002033ENV,,2018-07-02 00:00:00,2019-01-07 00:00:00,429 Beale Street and 430 Main Street,429 BEALE ST 94105,6,,0,0,0,0,0,0,0,0,0,,,,,,,,Michael Li,Michael,Li,Michael.J.Li@sfgov.org,415-575-9107,"Demolition of two existing self-storage structures.  New construction of a residential building containing 140 dwelling units, 70 auto parking spaces, and 110 bicycle parking spaces.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,30,37.78738569,1,10,-122.39022083,"MULTIPOLYGON (((-122.38979726899998 37.787587174000009, -122.38996289400001 37.787722742000028, -122.39031230099999 37.787446537999983, -122.39064567600002 37.787183002999996, -122.39047725 37.787049649999972, -122.39014667399999 37.787310971000011, -122.38979726899998 37.787587174000009)))",8,POINT (-122.39022083000002 37.78738569)
2014-002033TDM,TDM,Closed - Withdrawn,COMPLETE,3767,305,3767305,2014-002033PRJ,,2018-01-11 00:00:00,2019-03-05 00:00:00,429 Beale Street and 430 Main Street,429 BEALE ST 94105,6,,0,0,0,0,0,0,0,0,0,,,,,,"LCL GLOBAL 429 BEALE & 430 MAIN STREET L,",,Doug Vu,Doug,Vu,doug.vu@sfgov.org,415-575-9120,"Demolition of two existing self-storage structures.  New construction of a residential building containing 140 dwelling units, 70 auto parking spaces, and 110 bicycle parking spaces.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,30,37.78738569,1,10,-122.39022083,"MULTIPOLYGON (((-122.38979726899998 37.787587174000009, -122.38996289400001 37.787722742000028, -122.39031230099999 37.787446537999983, -122.39064567600002 37.787183002999996, -122.39047725 37.787049649999972, -122.39014667399999 37.787310971000011, -122.38979726899998 37.787587174000009)))",8,POINT (-122.39022083000002 37.78738569)
2014-002033DNX,DNX,Closed - Approved,COMPLETE,3767,305,3767305,2014-002033PRJ,,2015-11-10 00:00:00,2018-06-12 00:00:00,429 Beale Street and 430 Main Street,429 BEALE ST 94105,6,,0,0,0,0,0,0,0,0,0,,,,,,"Loper, Mark","Reuben, Junius and Rose, LLP",Doug Vu,Doug,Vu,doug.vu@sfgov.org,415-575-9120,"Downtown Residential (309.1) application for the demolition of two existing self-storage structures.  New construction of a residential building containing 144 dwelling units, 101 auto parking spaces, and 119 bicycle parking spaces.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,30,37.78738569,1,10,-122.39022083,"MULTIPOLYGON (((-122.38979726899998 37.787587174000009, -122.38996289400001 37.787722742000028, -122.39031230099999 37.787446537999983, -122.39064567600002 37.787183002999996, -122.39047725 37.787049649999972, -122.39014667399999 37.787310971000011, -122.38979726899998 37.787587174000009)))",8,POINT (-122.39022083000002 37.78738569)
2014-002033PRJ,PRJ,Closed,COMPLETE,3767,305,3767305,,"2014-002033DNX, 2014-002033ENV, 2014-002033PPA, 2014-002033TDM",2014-11-24 00:00:00,2018-05-24 00:00:00,429 Beale Street and 430 Main Street,429 BEALE ST 94105,6,,144,125,19,0,0,0,144,125,19,2014-11-10 00:00:00,2018-06-12 00:00:00,2014-11-24 00:00:00,2015-08-14 00:00:00,,"Junius, Andrew","Reuben, Junius & Rose, LLP",Richard Sucre,Richard,Sucre,richard.sucre@sfgov.org,415-575-9108,"The proposed project includes demolition of two existing commercial structures with a combined area of 35,625 sq. ft., the merger of two parcels and construction of a new  84-ft. tall, nine-story and approximately 140,280 sq. ft. residential building with up to 144 dwelling units (consisting of 60 studio, 25 one-bedroom, and 59 two-bedroom units), a combined 10,800 sq. ft. of private open space throughout the building and common open space at a rooftop deck and solarium, and a 17,720 sq. ft. basement garage for 72 accessory auto parking spaces that are accessed through one driveway on Beale Street, and 111 Class 1 bicycle parking spaces. The residential lobby is located on Main Street and the development would also include streetscape improvements in front of the building including new street trees, landscaping, bicycle racks and sidewalk repaving.",,,,,,,,CHECKED,,,,,,,,,,,,,,,,,,,CHECKED,,,Yes,,,,CHECKED,,,,,,,,,,,,,,,,,,,,,0,0,,0,,2300,,,,,140970,72,,18230,,0,,,,,0,0,0,,,,,,,,,,60,25,59,,,,,,,,,30,,30,37.78738569,1,10,-122.39022083,"MULTIPOLYGON (((-122.38979726899998 37.787587174000009, -122.38996289400001 37.787722742000028, -122.39031230099999 37.787446537999983, -122.39064567600002 37.787183002999996, -122.39047725 37.787049649999972, -122.39014667399999 37.787310971000011, -122.38979726899998 37.787587174000009)))",8,POINT (-122.39022083000002 37.78738569)
2015-001373MIS,MIS,Closed - Approved,COMPLETE,3507,041,3507041,,,2015-02-06 00:00:00,2015-02-19 00:00:00,8 - 10th Street,8 10TH ST 94103,6,,0,0,0,0,0,0,0,0,0,,,,,,"Speron, Roman",,Anne Brask,Anne,Brask,anne.brask@sfgov.org,415-575-9078,"CH Parking, LLC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,32,37.77582553,5,10,-122.41724963,"MULTIPOLYGON (((-122.417322834 37.77550506099999, -122.41729830999998 37.775524433999976, -122.417156729 37.775413457000013, -122.41709173800001 37.775464795999994, -122.41687289399999 37.775290249000022, -122.41678027900002 37.775364176999972, -122.416865702 37.775432308999996, -122.41682895399998 37.775461399999983, -122.416583973 37.775655336999989, -122.41676925500002 37.77580311600002, -122.41685467799999 37.775871248999977, -122.41692789799998 37.775929646999998, -122.41702552499999 37.776007513000025, -122.41745375400001 37.776349056000015, -122.41779696999998 37.776077885000007, -122.41791958200002 37.775981010999999, -122.417322834 37.77550506099999)))",34,POINT (-122.41724963 37.77582553)
2015-004681PRL,PRL,Closed,COMPLETE,3507,041,3507041,,,2015-04-14 00:00:00,2015-04-14 00:00:00,8 10TH ST,8 10TH ST 94103,6,,0,0,0,0,0,0,0,0,0,,,,,,",",Arrow Sign Co.,,,,,,1 projecting sign on Market Street meeting the provisions of PC section 608.8. Maximum of 1 projecting sign permitted on Market Street side.,,,,,,,,,,,,,,,,,,,,,CHECKED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,32,37.77582553,5,10,-122.41724963,"MULTIPOLYGON (((-122.417322834 37.77550506099999, -122.41729830999998 37.775524433999976, -122.417156729 37.775413457000013, -122.41709173800001 37.775464795999994, -122.41687289399999 37.775290249000022, -122.41678027900002 37.775364176999972, -122.416865702 37.775432308999996, -122.41682895399998 37.775461399999983, -122.416583973 37.775655336999989, -122.41676925500002 37.77580311600002, -122.41685467799999 37.775871248999977, -122.41692789799998 37.775929646999998, -122.41702552499999 37.776007513000025, -122.41745375400001 37.776349056000015, -122.41779696999998 37.776077885000007, -122.41791958200002 37.775981010999999, -122.417322834 37.77550506099999)))",34,POINT (-122.41724963 37.77582553)
2015-006663MIS,MIS,Closed - Approved,COMPLETE,3507,041,3507041,,,2015-05-28 00:00:00,2015-06-15 00:00:00,1 10th Street,8 10TH ST 94103,6,,0,0,0,0,0,0,0,0,0,,,,,,"Jackovics, Zsolt",,Anne Brask,Anne,Brask,anne.brask@sfgov.org,415-575-9078,Health Club (dba Fitness SF Mid Market) is permitted pursuant Planning Code Section 210.2.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,32,37.77582553,5,10,-122.41724963,"MULTIPOLYGON (((-122.417322834 37.77550506099999, -122.41729830999998 37.775524433999976, -122.417156729 37.775413457000013, -122.41709173800001 37.775464795999994, -122.41687289399999 37.775290249000022, -122.41678027900002 37.775364176999972, -122.416865702 37.775432308999996, -122.41682895399998 37.775461399999983, -122.416583973 37.775655336999989, -122.41676925500002 37.77580311600002, -122.41685467799999 37.775871248999977, -122.41692789799998 37.775929646999998, -122.41702552499999 37.776007513000025, -122.41745375400001 37.776349056000015, -122.41779696999998 37.776077885000007, -122.41791958200002 37.775981010999999, -122.417322834 37.77550506099999)))",34,POINT (-122.41724963 37.77582553)
