Permit Number,Permit Type,Permit Type Definition,Permit Creation Date,Block,Lot,Street Number,Street Number Suffix,Street Name,Street Suffix,Unit,Unit Suffix,Description,Current Status,Current Status Date,Filed Date,Issued Date,Completed Date,First Construction Document Date,Structural Notification,Number of Existing Stories,Number of Proposed Stories,Voluntary Soft-Story Retrofit,Fire Only Permit,Permit Expiration Date,Estimated Cost,Revised Cost,Existing Use,Existing Units,Proposed Use,Proposed Units,Plansets,TIDF Compliance,Existing Construction Type,Existing Construction Type Description,Proposed Construction Type,Proposed Construction Type Description,Site Permit,Supervisor District,Neighborhoods - Analysis Boundaries,Zipcode,Location,Record ID,SF Find Neighborhoods,Current Police Districts,Current Supervisor Districts,Analysis Neighborhoods,:@computed_region_bh8s_q3mv,:@computed_region_yftq_j783,:@computed_region_rxqg_mtj9,:@computed_region_jx4q_fizf,:@computed_region_uruc_drv6
201301027105,8,otc alterations permit,01/02/2013,1173,007,40,,Loyola,Tr,,,upgrade existing furnace room by installing 5/8 sheetrock at interior. install anchor bolts at proper intervals 4 on center room 6'-8 x 8'-6'. replace existing 2 furnaces with new high efficency comfort 95/100 afue furnaces. location left rear of garage (same location as existing),cancelled,11/14/2016,01/02/2013,01/02/2013,,,,3,3,,,12/28/2013,5000,5000,2 family dwelling,2,2 family dwelling,2,0,,5,wood frame (5),5,wood frame (5),,1,Lone Mountain/USF,94117,"(37.77622919688215, -122.44877581253213)",129220091307,12,7,4,18,29492,15,2,9,9
201301027105,8,otc alterations permit,01/02/2013,1173,007,42,,Loyola,Tr,,,upgrade existing furnace room by installing 5/8 sheetrock at interior. install anchor bolts at proper intervals 4 on center room 6'-8 x 8'-6'. replace existing 2 furnaces with new high efficency comfort 95/100 afue furnaces. location left rear of garage (same location as existing),cancelled,11/14/2016,01/02/2013,01/02/2013,,,,3,3,,,12/28/2013,5000,5000,2 family dwelling,2,2 family dwelling,2,0,,5,wood frame (5),5,wood frame (5),,1,Lone Mountain/USF,94117,"(37.77622919688215, -122.44877581253213)",1292201488027,12,7,4,18,29492,15,2,9,9
201301037129,8,otc alterations permit,01/03/2013,0222A,070,1170,,Sacramento,St,19,B,"relocate existing 3"" dry fire standpipe above new ceiling (within unit b).  ref. pa# 2012-0228-4991. tenant improvement.",complete,01/24/2014,01/03/2013,01/03/2013,01/24/2014,,,19,19,,Y,12/29/2013,2700,3000,apartments,72,apartments,72,2,,1,constr type 1,1,constr type 1,,3,Nob Hill,94108,"(37.79293048567304, -122.41218963211746)",1292230463246,16,6,3,21,28857,3,10,1,2
201301047256,8,otc alterations permit,01/04/2013,1015,039,3957,,Sacramento,St,,,"replace shower surround, tub surround, new vanity, new lighting, exhaust fan, 1 new outlet, 2 new switches, new flooring, new shower fixtures",complete,10/16/2013,01/04/2013,01/04/2013,10/16/2013,,,3,3,,,12/30/2013,10000,10000,1 family dwelling,1,1 family dwelling,1,0,,5,wood frame (5),5,wood frame (5),,2,Presidio Heights,94118,"(37.786485178256484, -122.45814359419954)",129239387209,10,8,6,31,54,11,1,9,11
201301077380,8,otc alterations permit,01/07/2013,0639,045,2151,,Sacramento,St,4,,"re-face one kitchen and 2 baths, new cabinets, tile, plumbing fixtures & electrical, no change on walls",complete,08/09/2013,01/07/2013,01/07/2013,08/09/2013,,,3,3,,,01/02/2014,25000,25000,apartments,4,apartments,4,0,,5,wood frame (5),5,wood frame (5),,2,Pacific Heights,94109,"(37.790291384738254, -122.42821505934837)",129256577338,102,4,6,30,28858,13,1,6,11
M365547,8,otc alterations permit,01/09/2013,1024,024,3067,,Sacramento,St,,,street space,issued,01/09/2013,01/09/2013,01/09/2013,,,,,,,,,,1,,,,,,,,,,,,2,Pacific Heights,94115,"(37.788369134122675, -122.44334639028624)",129284587442,102,8,6,30,29490,13,1,9,11
M365628,8,otc alterations permit,01/09/2013,1019,025,3555,,Sacramento,St,,,street space,issued,01/09/2013,01/09/2013,01/09/2013,,,,,,,,,,1,,,,,,,,,,,,2,Presidio Heights,94118,"(37.78737401868037, -122.45116555710186)",1292860487483,10,8,6,31,54,11,1,9,11
201301097630,8,otc alterations permit,01/09/2013,0633,011,2799,,Sacramento,St,0,,obtain final inspection for work approved under pa# 2000-1208-7535. all work is complete,issued,01/09/2013,01/09/2013,01/09/2013,,,,3,3,,,01/04/2014,1,1,retail sales,6,office,6,0,,5,wood frame (5),5,wood frame (5),,2,Pacific Heights,94115,"(37.78907907884656, -122.43867082759326)",1292868420764,102,4,6,30,29490,13,1,9,11
201301117750,8,otc alterations permit,01/11/2013,0222A,071,1170,,Sacramento,St,19,C,unit #19c-demolition of (e) bathroom fixtures & wall removal. no structural work. common area,complete,03/26/2013,01/11/2013,01/11/2013,03/26/2013,,,19,19,,,01/06/2014,8000,8000,apartments,73,apartments,73,2,,1,constr type 1,1,constr type 1,,3,Nob Hill,94108,"(37.79293048567304, -122.41218963211746)",129303763074,16,6,3,21,28857,3,10,1,2
201301117754,3,additions alterations or repairs,01/11/2013,1007,011,3228,,Sacramento,St,,,"install fire sprinkler throughout building using a new 2"" designated fire service",issued,04/03/2013,01/11/2013,04/03/2013,,,,1,1,,Y,03/29/2014,16000,22600,retail sales,0,food/beverage hndlng,0,2,,5,wood frame (5),5,wood frame (5),,2,Presidio Heights,94115,"(37.78856145735553, -122.44618810335785)",129303986897,10,8,6,31,29490,13,1,9,11
