id,name,address,applicant,planner,supervisor_district,permit_authority,permit_authority_id,building_permit_authority,building_permit_authority_id,net_num_units,net_num_units_data,net_num_units_bmr,net_num_units_bmr_data,net_estimated_num_units_bmr,net_estimated_num_units_bmr_data,pim_link
8fd12a12-244f-434d-83a1-526d453f3957,340-370 VALENCIA ST,"340 - 370 VALENCIA ST, SAN FRANCISCO, CA",Mission Housing Development Corpor,Jonathan Purvis,,planning,2002.0809,,,247,planning,247,planning,,,https://sfplanninggis.org/pim?search=2002.0809
f997f8fd-f293-46c2-bb0d-df25653ead5c,429 Beale Street and 430 Main Street,429 BEALE ST 94105,"Reuben, Junius & Rose, LLP",Richard Sucre,6,planning,2014-002033PRJ,,,144,planning,19,planning,,,https://sfplanninggis.org/pim?search=2014-002033PRJ
d4577b50-6185-4b90-a75a-42d8db11a277,2451 SACRAMENTO ST,2451 SACRAMENTO ST 94115,Paulett Taggart Architects,Kate Conner,2,planning,2015-010665PRJ,dbi,201509025917,0,dbi,98,planning,,,https://sfplanninggis.org/pim?search=2015-010665PRJ
03f740fd-b79b-4cf8-8881-db628ef40306,Clementina Towers,"Clementina St, 94103",Tenderloin Neighborhood Development Corporation,Kate Conner,6,planning,2015-011205PRJ,,,276,mohcd_pipeline,274,mohcd_pipeline,,,https://sfplanninggis.org/pim?search=2015-011205PRJ
0c6bfa4b-5d9c-446b-82e4-9d8a188c9716,2465 Van Ness,"Van Ness Ave, 94123",DM Development,Mary Cheung-Woods,2,planning,2015-014058PRJ,,,41,mohcd_pipeline,0,mohcd_pipeline,,,https://sfplanninggis.org/pim?search=2015-014058PRJ
17083f61-9ce4-4972-96f2-5ecf9133286d,1950 Mission,"Mission St, 94103",BRIDGE Housing Corporation,Kimberly Durandet,9,planning,2016-001514PRJ,dbi,201609218371,157,mohcd_pipeline,155,mohcd_pipeline,,,https://sfplanninggis.org/pim?search=2016-001514PRJ
8129302d-5241-49dd-8ac8-e03f374fc89a,1658 10TH AVE,1658 10TH AVE 94122,"REVOC, HERBERT M W & JUNE F O WONG REVOC",Cathleen Campbell,7,planning,2016-008581PRJ,,,3,planning,,,0,planning,https://sfplanninggis.org/pim?search=2016-008581PRJ
19a0dc80-bd50-4cc4-b321-288f926aa608,101 URBANO DR,101 URBANO DR 94127,"Chan, Ken",Sylvia Jimenez,7,planning,2017-006823PRJ,dbi,"201705237369,201705237369",2,dbi,,,0,planning,https://sfplanninggis.org/pim?search=2017-006823PRJ
529e1abf-b98e-4b3b-93d0-e7b5e1dc0290,24 FOUNTAIN ST,24 FOUNTAIN ST 94114,"Pashelingky, William",Linda Ajello Hoagland,8,planning,2017-016045PRJ,,,2,planning,,,0,planning,https://sfplanninggis.org/pim?search=2017-016045PRJ
010be24c-d2ab-4f03-b2a5-01025cb90b86,20 FOUNTAIN ST,20 FOUNTAIN ST 94114,"Pashelinsky, William",Linda Ajello Hoagland,8,planning,2017-016047PRJ,dbi,"201712085881,201712085881,201712085886,201712085886",8,dbi,,,0,planning,https://sfplanninggis.org/pim?search=2017-016047PRJ
a3baaf65-09b0-42cf-b5b8-60cbabf1c518,8 10TH ST,8 10TH ST 94103,CGR Development,Seema Adina,6,planning,2018-000948PRJ,,,754,planning,,,226,planning,https://sfplanninggis.org/pim?search=2018-000948PRJ
79056468-a3fb-4318-a345-7d918172f9b9,218 10TH AVE,218 10TH AVE 94118,Andrew Mann Architecture,Katherine Wilborn,1,planning,2018-013088PRJ,,,1,planning,,,0,planning,https://sfplanninggis.org/pim?search=2018-013088PRJ
