fk,source,last_updated,name,value
ppts_1990.858S,ppts,2020-01-29,the_geom,"MULTIPOLYGON (((-122.390146674 37.787310971, -122.39047725 37.78704965, -122.390645676 37.787183003, -122.390312301 37.787446538, -122.389962894 37.787722742, -122.389797269 37.787587174, -122.390146674 37.787310971)))"
ppts_1990.858S,ppts,2020-01-29,record_id,1990.858S
ppts_1990.858S,ppts,2020-01-29,date_opened,12/21/1990 12:00:00 AM +0000
ppts_1990.858S,ppts,2020-01-29,status,Closed - Approved
ppts_1990.858S,ppts,2020-01-29,date_closed,01/14/1991 12:00:00 AM +0000
ppts_1990.858S,ppts,2020-01-29,address,"429 BEALE ST, SAN FRANCISCO, CA 94105"
ppts_1990.858S,ppts,2020-01-29,record_type,Subdivision-REF (SUB)
ppts_1990.858S,ppts,2020-01-29,record_type_category,SUB
ppts_1990.858S,ppts,2020-01-29,name,430 Main St+
ppts_1990.858S,ppts,2020-01-29,description,lot line adjustment to merge two units into one unit.
ppts_1990.858S,ppts,2020-01-29,parent,1990.858
ppts_2002.0809E,ppts,2020-01-29,the_geom,"MULTIPOLYGON (((-122.423674693 37.767604327, -122.423591902 37.76760933, -122.423488412 37.767615585, -122.423391823 37.767621422, -122.423305583 37.767626633, -122.423167597 37.767634971, -122.423084806 37.767639975, -122.423002015 37.767644977, -122.422915774 37.767650189, -122.422829534 37.7676554, -122.422743293 37.767660612, -122.422639804 37.767666864, -122.422294907 37.767687704, -122.422192516 37.766618728, -122.424020727 37.76650825, -122.424039093 37.766699941, -122.42414258 37.766693687, -122.424225845 37.767562755, -122.42377222 37.767590171, -122.423741173 37.767592047, -122.423741961 37.767600262, -122.423674693 37.767604327)))"
ppts_2002.0809E,ppts,2020-01-29,record_id,2002.0809E
ppts_2002.0809E,ppts,2020-01-29,date_opened,07/17/2002 12:00:00 AM +0000
ppts_2002.0809E,ppts,2020-01-29,status,Closed - CEQA Clearance Issued
ppts_2002.0809E,ppts,2020-01-29,date_closed,09/20/2002 12:00:00 AM +0000
ppts_2002.0809E,ppts,2020-01-29,address,"340 VALENCIA ST, SAN FRANCISCO, CA"
ppts_2002.0809E,ppts,2020-01-29,record_type,Environmental (ENV)
ppts_2002.0809E,ppts,2020-01-29,record_type_category,ENV
ppts_2002.0809E,ppts,2020-01-29,name,340-370 VALENCIA ST
ppts_2002.0809E,ppts,2020-01-29,description,"03/06/2003 Shadow Study Prop. K 
The proposed project would demolish the 22 three-story buildings and construct 17 three story affordable housing structures containing a total of 247 units, plus community space and child care designed as a PUD with exceptions from parking and loading requirements."
ppts_2002.0809E,ppts,2020-01-29,parent,2002.0809
ppts_2017-007883PRJ,ppts,2020-01-29,the_geom,"MULTIPOLYGON (((-122.467561946 37.774389437, -122.467979775 37.77437041, -122.467984738 37.774438956, -122.467566908 37.774457981, -122.467562938 37.774403145, -122.467561946 37.774389437)))"
ppts_2017-007883PRJ,ppts,2020-01-29,record_id,2017-007883PRJ
ppts_2017-007883PRJ,ppts,2020-01-29,date_opened,06/22/2017 12:00:00 AM +0000
ppts_2017-007883PRJ,ppts,2020-01-29,status,Application Accepted
ppts_2017-007883PRJ,ppts,2020-01-29,address,738 A 10TH AVE 94118
ppts_2017-007883PRJ,ppts,2020-01-29,record_type,Project Profile (PRJ)
ppts_2017-007883PRJ,ppts,2020-01-29,record_type_category,PRJ
ppts_2017-007883PRJ,ppts,2020-01-29,name,738 10TH AVE
ppts_2017-007883PRJ,ppts,2020-01-29,description,"HORIZONTAL ADDITION ON THE GROUND FLOOR UNIT & 2ND FLOOR. UPPER UNIT, A FAMILY ROOM, A BEDROOM WITH A FULL BATH & A DECK."
ppts_2017-007883PRJ,ppts,2020-01-29,planner_name,Sara Vellve
ppts_2017-007883PRJ,ppts,2020-01-29,planner_email,sara.vellve@sfgov.org
ppts_2017-007883PRJ,ppts,2020-01-29,planner_phone,415-558-6263
ppts_2017-007883PRJ,ppts,2020-01-29,market_rate_units_existing,2
ppts_2017-007883PRJ,ppts,2020-01-29,market_rate_units_proposed,2
ppts_2017-007883PRJ,ppts,2020-01-29,market_rate_units_net,0
ppts_2017-007883PRJ,ppts,2020-01-29,building_permit_number,201705318009
ppts_86-076,ppts,2020-01-29,the_geom,"MULTIPOLYGON (((-122.467313504 37.764727538, -122.467318294 37.764796091, -122.466903797 37.764814379, -122.466899007 37.764745826, -122.467313504 37.764727538)))"
ppts_86-076,ppts,2020-01-29,record_id,86-076
ppts_86-076,ppts,2020-01-29,date_opened,03/21/1986 12:00:00 AM +0000
ppts_86-076,ppts,2020-01-29,status,Closed - Appeal Upheld
ppts_86-076,ppts,2020-01-29,date_closed,04/30/1986 12:00:00 AM +0000
ppts_86-076,ppts,2020-01-29,record_type,Appeals (APL)
ppts_86-076,ppts,2020-01-29,record_type_category,APL
ppts_86-076,ppts,2020-01-29,name,1258 10TH AV
ppts_2010.0766E,ppts,2020-01-29,the_geom,"MULTIPOLYGON (((-122.43353668 37.789803255, -122.433489425 37.789579538, -122.433668832 37.789556902, -122.433697625 37.789699266, -122.433701043 37.789698834, -122.433717546 37.789780436, -122.43353668 37.789803255)))"
ppts_2010.0766E,ppts,2020-01-29,record_id,2010.0766E
ppts_2010.0766E,ppts,2020-01-29,date_opened,08/31/2010 12:00:00 AM +0000
ppts_2010.0766E,ppts,2020-01-29,status,Closed - CEQA Clearance Issued
ppts_2010.0766E,ppts,2020-01-29,date_closed,10/07/2010 12:00:00 AM +0000
ppts_2010.0766E,ppts,2020-01-29,record_type,Environmental (ENV)
ppts_2010.0766E,ppts,2020-01-29,record_type_category,ENV
ppts_2010.0766E,ppts,2020-01-29,name,2451 Sacramento Street
ppts_2010.0766E,ppts,2020-01-29,description,Rezone parcel from RM-1 to Upper Fillmore Street NC District.
ppts_2010.0766E,ppts,2020-01-29,parent,2010.0766
ppts_2010.0766E,ppts,2020-01-29,planner_name,Jeanie Poling
ppts_2010.0766E,ppts,2020-01-29,planner_email,jeanie.poling@sfgov.org
ppts_2010.0766E,ppts,2020-01-29,planner_phone,415-575-9072
ppts_8982ZAD,ppts,2020-01-29,the_geom,"MULTIPOLYGON (((-122.39047725 37.78704965, -122.390645676 37.787183003, -122.390312301 37.787446538, -122.390146674 37.787310971, -122.39047725 37.78704965)))"
ppts_8982ZAD,ppts,2020-01-29,record_id,8982ZAD
ppts_8982ZAD,ppts,2020-01-29,date_opened,06/04/2010 12:00:00 AM +0000
ppts_8982ZAD,ppts,2020-01-29,status,Closed - Issued
ppts_8982ZAD,ppts,2020-01-29,date_closed,07/21/2010 12:00:00 AM +0000
ppts_8982ZAD,ppts,2020-01-29,record_type,Zoning Administrator Determination Letter (ZAD)
ppts_8982ZAD,ppts,2020-01-29,record_type_category,ZAD
ppts_8982ZAD,ppts,2020-01-29,name,"430 Main & 429 Beale Street (3767, Lots 305 & 306); Letter of Determination"
ppts_8982ZAD,ppts,2020-01-29,description,"430 Main & 429 Beale Street (3767, Lots 305 & 306); Letter of Determination"
ppts_2016-001514PPA,ppts,2020-01-29,the_geom,"MULTIPOLYGON (((-122.420392255 37.765559672, -122.420495741 37.765553422, -122.420548187 37.766101109, -122.419919804 37.766139067, -122.419896549 37.76589619, -122.41989127 37.765841061, -122.419867363 37.765591378, -122.420074335 37.765578876, -122.420185282 37.765572174, -122.420392255 37.765559672)))"
ppts_2016-001514PPA,ppts,2020-01-29,record_id,2016-001514PPA
ppts_2016-001514PPA,ppts,2020-01-29,date_opened,01/27/2016 12:00:00 AM +0000
ppts_2016-001514PPA,ppts,2020-01-29,status,Closed - Informational
ppts_2016-001514PPA,ppts,2020-01-29,date_closed,05/03/2016 12:00:00 AM +0000
ppts_2016-001514PPA,ppts,2020-01-29,address,1950 MISSION ST 94103
ppts_2016-001514PPA,ppts,2020-01-29,record_type,Preliminary Project Assessment (PPA)
ppts_2016-001514PPA,ppts,2020-01-29,record_type_category,PPA
ppts_2016-001514PPA,ppts,2020-01-29,name,1950 MISSION ST
ppts_2016-001514PPA,ppts,2020-01-29,description,"Demolish 11 modular wood framed buildings at 1950 Mission Street
MULTIPOLYGON (((-122.390146674 37.787310971"
ppts_2016-001514PPA,ppts,2020-01-29,parent,-122.389962894 37.787722742
ppts_2016-001514PPA,ppts,2020-01-29,children,-122.389797269 37.787587174
ppts_2016-001514PPA,ppts,2020-01-29,planner_name,90012
ppts_2016-001514PPA,ppts,2020-01-29,planner_email,2007.1121
ppts_2016-001514PPA,ppts,2020-01-29,planner_phone,09/27/2007 12:00:00 AM +0000
ppts_MB1301338,ppts,2020-01-29,the_geom,"MULTIPOLYGON (((-122.417919582 37.775981011, -122.41779697 37.776077885, -122.417453754 37.776349056, -122.417025525 37.776007513, -122.416927898 37.775929647, -122.416854678 37.775871248, -122.416769255 37.775803116, -122.416583973 37.775655337, -122.416828954 37.7754614, -122.416865702 37.775432309, -122.416780279 37.775364177, -122.416872894 37.775290249, -122.417091738 37.775464796, -122.417156729 37.775413457, -122.41729831 37.775524434, -122.417322834 37.775505061, -122.417919582 37.775981011)))"
ppts_MB1301338,ppts,2020-01-29,record_id,MB1301338
ppts_MB1301338,ppts,2020-01-29,date_opened,08/20/2013 12:00:00 AM +0000
ppts_MB1301338,ppts,2020-01-29,status,Closed - Approved
ppts_MB1301338,ppts,2020-01-29,date_closed,08/22/2013 12:00:00 AM +0000
ppts_MB1301338,ppts,2020-01-29,address,"8 10TH ST, SAN FRANCISCO, CA 94117"
ppts_MB1301338,ppts,2020-01-29,record_type,Misc. Permits-REF (MIS)
ppts_MB1301338,ppts,2020-01-29,record_type_category,MIS
ppts_MB1301338,ppts,2020-01-29,name,"HPM OF AMERICA, LLC"
ppts_MB1301338,ppts,2020-01-29,description,- continuation of existing parking facility is permitted.
ppts_2004.0049E,ppts,2020-01-29,the_geom,"MULTIPOLYGON (((-122.466780014 37.763042601, -122.467194508 37.763024399, -122.467200255 37.763106663, -122.467205044 37.763175216, -122.46679055 37.763193418, -122.466785761 37.763124865, -122.466780014 37.763042601)))"
ppts_2004.0049E,ppts,2020-01-29,record_id,2004.0049E
ppts_2004.0049E,ppts,2020-01-29,date_opened,04/19/2004 12:00:00 AM +0000
