fk,source,last_updated,name,value
1990.858S,ppts,2020-01-29,the_geom,"MULTIPOLYGON (((-122.390146674 37.787310971, -122.39047725 37.78704965, -122.390645676 37.787183003, -122.390312301 37.787446538, -122.389962894 37.787722742, -122.389797269 37.787587174, -122.390146674 37.787310971)))"
1990.858S,ppts,2020-01-29,record_id,1990.858S
1990.858S,ppts,2020-01-29,date_opened,12/21/1990 12:00:00 AM +0000
1990.858S,ppts,2020-01-29,status,Closed - Approved
1990.858S,ppts,2020-01-29,date_closed,01/14/1991 12:00:00 AM +0000
1990.858S,ppts,2020-01-29,address,"429 BEALE ST, SAN FRANCISCO, CA 94105"
1990.858S,ppts,2020-01-29,record_type,Subdivision-REF (SUB)
1990.858S,ppts,2020-01-29,record_type_category,SUB
1990.858S,ppts,2020-01-29,name,430 Main St+
1990.858S,ppts,2020-01-29,description,lot line adjustment to merge two units into one unit.
1990.858S,ppts,2020-01-29,parent,1990.858
2017-007883PRJ,ppts,2020-01-29,the_geom,"MULTIPOLYGON (((-122.467561946 37.774389437, -122.467979775 37.77437041, -122.467984738 37.774438956, -122.467566908 37.774457981, -122.467562938 37.774403145, -122.467561946 37.774389437)))"
2017-007883PRJ,ppts,2020-01-29,record_id,2017-007883PRJ
2017-007883PRJ,ppts,2020-01-29,date_opened,06/22/2017 12:00:00 AM +0000
2017-007883PRJ,ppts,2020-01-29,status,Application Accepted
2017-007883PRJ,ppts,2020-01-29,address,738 A 10TH AVE 94118
2017-007883PRJ,ppts,2020-01-29,record_type,Project Profile (PRJ)
2017-007883PRJ,ppts,2020-01-29,record_type_category,PRJ
2017-007883PRJ,ppts,2020-01-29,name,738 10TH AVE
2017-007883PRJ,ppts,2020-01-29,description,"HORIZONTAL ADDITION ON THE GROUND FLOOR UNIT & 2ND FLOOR. UPPER UNIT, A FAMILY ROOM, A BEDROOM WITH A FULL BATH & A DECK."
2017-007883PRJ,ppts,2020-01-29,planner_name,Sara Vellve
2017-007883PRJ,ppts,2020-01-29,planner_email,sara.vellve@sfgov.org
2017-007883PRJ,ppts,2020-01-29,planner_phone,415-558-6263
2017-007883PRJ,ppts,2020-01-29,market_rate_units_existing,2
2017-007883PRJ,ppts,2020-01-29,market_rate_units_proposed,2
2017-007883PRJ,ppts,2020-01-29,market_rate_units_net,0
2017-007883PRJ,ppts,2020-01-29,building_permit_id,201705318009
86-076,ppts,2020-01-29,the_geom,"MULTIPOLYGON (((-122.467313504 37.764727538, -122.467318294 37.764796091, -122.466903797 37.764814379, -122.466899007 37.764745826, -122.467313504 37.764727538)))"
