Building Permit Application Number,Building Address,Date Issued,Document Type,Number of Units Certified
201404304554,41 Tehama Street,2018/01/11,Amended TCO,68
201405286908,1075 Market Street,2018/01/19,Initial TCO,90
201408133766,110 Channel Street,2018/01/23,Amended TCO,15
201309045886,855 Brannan Street,2018/01/29,Amended TCO,2
201908098418,830 40th Avenue,2019/11/01,CFC,1
201703060758,2860 22nd Street,2018/01/02,CFC,1
201510169925,172 Haight Street,2018/01/04,CFC,2
201307262927,955 Natoma St,2018/01/08,CFC,1
201704264920,208 Flood Street,2018/01/08,CFC,1
201611162876,685 26th Avenue,2018/01/10,CFC,1
201307313201,972 Bush Street,2018/01/11,CFC,3
201601086723,208 San Jose Avenue,2018/01/12,CFC,1
201609097350,88A Valparaiso Street,2018/01/16,CFC,1
201607142411,69 Henry Street,2018/01/16,CFC,1
201604084287,729 Gratton Avenue,2018/01/17,CFC,1
201702038579,590 30th Avenue,2018/01/18,CFC,1
201604124545,1903 23rd Street,2018/01/19,CFC,1
201602189860,2190 Grove Street,2018/01/22,CFC,5
201505287372,175 Maynard,2018/01/24,CFC,1
201306129341,333 Pennsylvani Avenue,2018/01/25,CFC,2
201609016639,78 Lee Avenue,2018/01/26,CFC,1
201612024018,3136 Anza Street,2018/01/30,CFC,1
201504062845,3938 17th Street,2018/01/31,CFC,1
201406259383,800 Indiana Street,2016/02/06,Amended TCO,42
201404304554,41 Tehama Street,2019/02/13,Amended TCO,16
201406249199,255 Fremont Street,2018/02/15,Initial TCO,120
201312093685,580 Hayes Street,2018/02/27,Initial TCO,24
201208207754,160 Russ Street,2018/02/01,CFC,2
201601227796,136B Duncan,2018/02/01,CFC,1
201506017714,97 Saturn Street,2018/02/01,CFC,1
201412012693,50 Lucky Street,2018/02/02,CFC,1
201604154912,3646 16th Street,2018/02/08,CFC,1
201312093691,645 Texas Street,2018/02/12,CFC,2
201205251254,2851 Filbert Street,2018/02/13,CFC,1
201703302804,2237 19th Avenue,2018/02/14,CFC,1
201508275422,166 Palo Alto Avenue,2018/02/14,CFC,1
201607273540,708A Buchanan Street,2018/02/15,CFC,1
201511061992,3250 Laguna Street,2018/02/16,CFC,2
201412194190,127 23rd Avenue,2018/02/22,CFC,1
201701066618,76 Oakwood Street,2018/02/22,CFC,1
201510159839,2121-2123 30th Ave,2018/02/27,CFC,1
201405064989,188 Quane Street,2018/02/28,CFC,1
201408133775,1000 3rd Street,2018/03/16,Amended TCO,85
201406259383,800 Indiana Street,2018/03/16,Amended TCO,38
201406138394,150 Van Ness Avenue,2018/03/27,Initial TCO,96
201309207325,439 Alvarado Street,2018/03/01,CFC,1
201411242420,1042-1046 Jackson St,2018/03/05,CFC,1
201402259238,259 Roosevelt Way,2018/03/06,CFC,1
201408063204,3591 Jackson Street,2018/03/06,CFC,1
201507141495,1198 Valencia Street,2018/03/07,CFC,49
201303122050,910 Carolina Street,2018/03/07,CFC,1
201605096965,1610 La Playa,2018/03/12,CFC,1
201210041365,1580 Golden Gate Ave,2018/03/12,CFC,2
201510260798,735 Taylor Street,2018/03/13,CFC,7
201406279814,2051 3rd Street,2018/03/16,CFC,93
201802151418,736 Leavenworth St,2018/03/21,CFC,2
201405236581,1236 Arguello Blvd,2018/03/23,CFC,2
201512044204,744 Oak Street,2018/03/26,CFC,1
201608175311,1631 Shafter Street,2018/03/27,CFC,1
201311041054,3420 18th Street,2018/03/28,CFC,16
200203191802,65 Hiliritas Avenue,2018/03/28,CFC,1
200203191797,55 Hiliritas Avenue,2018/03/28,CFC,1
201704244741,415 7th Avenue,2018/03/28,CFC,1
201511203237,1431 Grove Street,2018/03/29,CFC,2
201605056664,478 28th Avenue,2018/03/30,CFC,1
201312093685,580 Hayes Street,2018/04/02,Amended TCO,1
201408133775,1000 3rd Street,2018/04/19,Amended TCO,64
201410108646,949 Natoma Street,2018/04/24,Initial TCO,6
201610180594,1048 Union Street,2018/04/03,CFC,2
201404294518,634 45th Avenue,2018/04/03,CFC,1
201703080978,1601 Ortega Street,2018/04/04,CFC,1
201503191293,3134 Broderick Street,2018/04/05,CFC,1
201307151829,579 39th Avenue,2018/04/05,CFC,2
201306149612,80 Blake Street,2018/04/05,CFC,2
201502107933,1110 York Street,2018/04/05,CFC,1
201209200274,685 Florida Street,2018/04/10,CFC,4
201508214923,1826 15th Street,2018/04/13,CFC,1
